CELL_LINE_NAME,5-Fluorouracil,ABT737,AGI-5198,AGI-6780,AMG-319,AT13148,AZ6102,AZ960,AZD1208,AZD1332,AZD2014,AZD3759,AZD4547,AZD5153,AZD5363,AZD5438,AZD5582,AZD5991,AZD6482,AZD6738,AZD7762,AZD8055,AZD8186,Acetalax,Afatinib,Afuresertib,Alisertib,Alpelisib,Axitinib,BDP-00009066,BI-2536,BIBR-1532,BMS-345541,BMS-536924,BMS-754807,BPD-00008900,Bortezomib,Buparlisib,CDK9_5038,CDK9_5576,CZC24832,Camptothecin,Carmustine,Cediranib,Cisplatin,Crizotinib,Cyclophosphamide,Cytarabine,Dabrafenib,Dactinomycin,Dactolisib,Daporinad,Dasatinib,Dihydrorotenone,Dinaciclib,Docetaxel,Doramapimod,EPZ004777,EPZ5676,ERK_2440,ERK_6604,Eg5_9814,Elephantin,Entinostat,Entospletinib,Epirubicin,Erlotinib,Fludarabine,Foretinib,Fulvestrant,GDC0810,GNE-317,GSK1904529A,GSK2578215A,GSK2606414,GSK269962A,GSK343,GSK591,Gallibiscoquinazole,Gefitinib,Gemcitabine,I-BET-762,I-BRD9,IAP_5620,IGF1R_3801,IRAK4_4710,IWP-2,Ibrutinib,Ipatasertib,Irinotecan,JAK1_8709,JAK_8517,JQ1,KRAS (G12C) Inhibitor-12,KU-55933,LCL161,LGK974,LJI308,LY2109761,Lapatinib,Leflunomide,Linsitinib,Luminespib,MG-132,MIM1,MIRA-1,MK-1775,MK-2206,MK-8776,ML323,MN-64,Mirin,Mitoxantrone,NU7441,NVP-ADW742,Navitoclax,Nelarabine,Nilotinib,Niraparib,Nutlin-3a (-),OF-1,OSI-027,OTX015,Obatoclax Mesylate,Olaparib,Osimertinib,Oxaliplatin,P22077,PAK_5339,PCI-34051,PD0325901,PD173074,PF-4708671,PFI3,PLX-4720,PRIMA-1MET,PRT062607,Paclitaxel,Palbociclib,Pevonedistat,Picolinici-acid,Pictilisib,Podophyllotoxin bromide,Pyridostatin,RO-3306,RVX-208,Rapamycin,Ribociclib,Ruxolitinib,SB216763,SB505124,SCH772984,Sabutoclax,Sapitinib,Savolitinib,Selumetinib,Sepantronium bromide,Sinularin,Sorafenib,Staurosporine,TAF1_5496,Talazoparib,Tamoxifen,Taselisib,Telomerase Inhibitor IX,Temozolomide,Teniposide,Topotecan,Tozasertib,Trametinib,ULK1_4989,UMI-77,Ulixertinib,Uprosertib,VE-822,VE821,VSP34_8731,VX-11e,Venetoclax,Vinblastine,Vincristine,Vinorelbine,Vorinostat,WEHI-539,WIKI4,WZ4003,Wee1 Inhibitor,Wnt-C59,XAV939,YK-4-279,ZM447439,Zoledronate
22RV1,2.478859,3.7480550000000004,5.893052,3.901068,6.06916,2.378729,2.771439,3.842732,5.003845,3.422703,-0.551583,3.066447,3.233135,0.76303,2.5015970000000003,3.4244470000000002,2.2467189999999997,3.871164,,3.185074,1.9072639999999998,,3.526126,-0.9337709999999999,2.433064,1.4638360000000001,2.590589,2.077915,,1.6863130000000002,,5.992197,2.335148,2.737841,,3.7894660000000004,-4.736394000000001,0.5852310000000001,-3.650157,-0.857095,4.397125,-3.142631,5.815501,1.976548,3.6222849999999998,3.282176,5.842034,3.8269349999999998,6.06046,-4.923521,-2.881767,-3.2848370000000005,3.9515089999999997,1.5889879999999998,-2.780291,-2.9419364999999997,,5.970863,6.007912999999999,1.5477040000000002,2.772264,-3.6299589999999995,3.178472,1.850475,5.022928,-1.5561049999999998,3.7046379999999997,6.004705,2.3185990000000003,4.227332,6.062725,-0.24693099999999998,4.167249,5.766986,3.333811,,3.4611120000000004,5.671551999999999,2.995444,4.032555,-2.79927,2.2018419999999996,5.2648779999999995,6.245074,0.816124,4.505062000000001,3.680972,5.031967,3.3841989999999997,2.060165,4.430804,2.848389,,2.693967,,5.525759,4.731942,4.933993,5.58935,3.743992,5.52081,3.306754,-2.131591,-1.690391,4.509578,6.082548,2.948688,2.070103,3.646186,4.562896,5.8535580000000005,4.667461,-0.225726,,2.43145,3.963435,6.387706,3.93594,3.3523059999999996,2.562728,4.729431,,2.9608849999999998,1.487555,5.238894999999999,2.861897,3.0813365,6.083273,0.863893,5.445074,0.641888,4.961591,,5.771954,5.153903,3.215631,1.7698349999999998,-2.608319,2.828738,1.5677290000000002,6.045938,1.007193,-0.482501,2.8721259999999997,,4.277172,-4.474842,,6.062930000000001,,,2.896209,-1.05824,5.56816,3.258009,3.487807,-2.996629,3.952226,3.2675099999999997,-2.7205340000000002,4.214005,2.407532,3.510179,0.9729639999999999,0.45985,6.804612,0.275109,-0.776716,,1.48359,1.141442,2.005472,2.803572,1.133014,4.088992,5.655248,2.747969,3.5172879999999997,3.303186,-4.459258999999999,-2.097045,-3.4660029999999997,0.846758,4.335838,4.581114,4.000959,2.597779,3.9106120000000004,4.825634,2.638076,,3.74534
23132-87,2.1680029999999997,3.0511369999999998,5.0958879999999995,5.168499,4.618705,1.3984450000000002,2.029025,1.526864,4.671017,1.9308720000000001,-0.383823,3.206312,1.371171,0.632429,1.019439,1.44139,0.879295,2.950501,,1.516047,0.3283,,0.471459,0.687747,0.652471,0.874302,0.746455,2.034585,,1.9172080000000002,,3.461911,1.678843,2.273154,,5.145716,-5.3542559999999995,-0.045462999999999996,-3.6882589999999995,-1.482124,4.485461,-3.2769449999999996,6.181,1.6834939999999998,3.985785,3.9223769999999996,4.536312000000001,0.10929000000000001,5.535671,-4.5308145,-2.648527,,1.200988,0.7640979999999999,-3.000515,-5.2109985000000005,,5.6535269999999995,5.795101,1.952534,2.126061,-4.3810150000000005,4.034322,2.2808900000000003,4.043386,-2.0247900000000003,1.9026669999999999,3.5237010000000004,1.2968620000000002,3.697545,4.640909,-0.815365,3.4313809999999996,5.164485,3.160482,,2.6831419999999997,3.484378,2.253378,1.917081,-1.0235049999999999,3.7200839999999995,3.5110099999999997,5.197432,1.7046299999999999,3.702863,3.136339,5.218323000000001,1.70515,1.9774619999999998,2.920731,2.21651,,4.290919000000001,,5.481636,4.1572510000000005,5.022082,5.519808,2.776144,4.809329,3.719157,-1.7974169999999998,-1.590646,4.476811,5.416903,-0.14513,0.186595,1.634005,4.002634,5.115531,3.222326,0.154754,,2.381129,0.6159319999999999,6.007531,3.8093019999999997,3.8604519999999996,2.3682990000000004,4.453523000000001,4.815779,2.200023,0.619715,5.102666,1.72955,4.3916335,5.04413,2.0727729999999998,4.758616,0.04408,2.332281,,5.54976,4.5698550000000004,4.777564,3.174203,-3.6618,3.223218,1.114285,5.312942,-1.015219,-1.333767,2.645773,,4.321911,-3.5489230000000003,,5.415417,,,1.5321129999999998,-0.7134520000000001,2.738978,3.1556130000000002,3.125865,-2.7543450000000003,4.40685,2.47683,-4.08997,2.884023,2.41862,3.0877939999999997,-0.320857,0.669108,5.194991,-0.736102,-0.237327,,-1.101323,0.770011,5.285172,2.526244,0.188871,4.053539,2.409138,1.499177,1.761494,2.176614,-4.77083,-3.294943,-5.256226,0.866942,3.9963620000000004,3.8416910000000004,3.440264,1.7976400000000001,5.266275,4.182666,1.9115790000000001,,3.5947339999999994
42-MG-BA,3.362543,3.02294,4.680624,4.800641000000001,5.247738,3.004648,2.4756810000000002,1.071731,5.150479,2.004515,0.593152,2.934145,0.952577,0.81195,1.403266,1.9282270000000001,1.6021459999999998,5.38077,,1.565993,-1.033307,,1.9120130000000002,5.5460970000000005,1.7235490000000002,0.561507,1.485959,2.992025,,1.373732,,5.355642,2.205889,1.6629880000000001,,3.258388,-4.6534699999999996,0.5093439999999999,-3.201348,-0.948931,4.794651999999999,-2.9067060000000002,6.315252,0.298115,2.56301,3.392776,5.142124,1.035739,4.55764,-4.231256,-3.2801970000000003,,-1.8523630000000002,1.70469,-3.422078,-4.2470725,,5.352169,5.128559,1.816037,4.183039,-0.752744,3.5126370000000002,2.2613380000000003,2.537928,-2.54215,3.384925,5.027533,-0.981786,4.045351,4.767481,-0.712248,4.365921,5.221195,2.509598,,2.905183,4.298847,2.200911,3.853929,-3.7311669999999997,3.279735,4.006147,5.218827,1.768557,3.6753480000000005,2.464026,4.098416,1.911757,1.7655919999999998,3.94495,1.5945340000000001,,3.846485,,5.174342,3.566074,5.3622510000000005,4.278323,3.271705,5.825146,4.474981,-2.756768,-1.533623,1.846511,5.488675,2.279117,1.6465290000000001,2.373217,4.770288,5.271014,3.9843669999999998,1.658553,,1.889513,2.486457,6.002802,1.996017,2.144146,5.533789,5.271024,5.2836,2.329908,0.742598,3.210166,1.488888,4.1297345,3.975347,1.7063549999999998,4.859961,1.961409,3.231395,,5.445101999999999,4.585977,5.835371,2.303465,-3.4009650000000002,5.160666,-0.101957,4.351792,0.47685500000000003,-0.753426,3.3390400000000002,,4.172442,-3.7303940000000004,,3.999542,,,2.964445,-0.062657,4.136671,1.9060810000000001,4.503593,-5.090262999999999,2.3649310000000003,1.820209,-6.297467,5.31895,1.7333470000000002,3.787142,0.896352,0.08530499999999999,5.499546,0.468732,-0.5925060000000001,,0.971772,-0.005542,2.966542,3.1477085,1.6821965,4.3697349999999995,4.150422,2.34602,2.899096,2.773902,-4.778541000000001,-2.1353419999999996,-3.9218089999999997,1.8046400000000002,4.043737999999999,3.6872730000000002,3.853185,2.966137,4.574813,3.9162660000000002,1.723414,,3.5553339999999998
5637,3.3132580000000003,2.631881,4.544496,4.682486,4.969635,5.427144999999999,2.328566,2.147739,5.660901,2.716121,1.704104,1.093429,2.728746,2.465343,3.5877410000000003,3.164891,2.3458349999999997,5.7835410000000005,,2.076129,0.40363000000000004,,3.791829,6.639999,-0.036451,4.2441,0.706669,3.595567,,2.1452709999999997,,5.0691440000000005,4.52505,1.796269,,4.778421,-5.040545,0.41740299999999997,-0.992907,0.8850899999999999,5.263081,-2.31453,5.751071,2.732897,1.949298,4.447811,5.393143,2.460016,4.781957,-4.2628354999999996,-1.24298,,-1.9547169999999998,0.135731,-1.866181,-5.553314,,5.747076,6.22498,2.435362,3.0251959999999998,-3.4265489999999996,4.190962,1.018559,4.020576999999999,-1.4738719999999998,0.723374,4.575404,0.41854300000000005,3.5355775,4.418514,0.699332,5.617621,5.404289,3.1780470000000003,,3.171325,3.0274490000000003,2.023558,1.831853,-1.767897,4.198119,5.751531,5.784138,0.9533379999999999,4.238499,3.4282269999999997,3.9459779999999998,5.023208,2.229657,4.164902,2.608889,,3.6597370000000002,,5.261705999999999,4.077287,5.5324480000000005,5.941823,2.152832,4.487524,4.208287,-2.160732,-1.9460950000000001,3.930852,5.95337,-0.520786,5.210958,3.7911669999999997,5.56254,5.819659,5.073879,1.184935,,3.2229099999999997,2.984122,6.217474,4.477423,4.433013,5.243188,4.436849,5.058043,2.864739,1.225647,4.255246,0.522533,4.3911095,4.225295,2.091728,5.938212,0.680802,4.859475,,5.698285,4.21778,4.020158,3.454306,-4.320505000000001,4.695227,0.23797100000000002,4.575837,1.881186,-1.015333,2.679232,,5.566512,-0.501841,,5.828755999999999,,,2.229329,0.309852,1.718302,1.957588,3.693371,-3.7982489999999998,3.9218580000000003,2.972289,-3.516543,4.860638,2.21092,4.094658,1.8224759999999998,0.034335000000000004,5.301062,0.108547,-0.55256,,-0.5632520000000001,2.045777,3.9460940000000004,2.88436,4.453361500000001,4.730639,3.9417190000000004,2.571724,2.808092,2.210227,,-2.318438,-5.196169,1.434107,2.8452,3.536451,4.488451,1.926655,4.366879,5.424404,0.082844,,4.148671
639-V,4.410076999999999,4.331129,3.8745260000000004,3.6060830000000004,4.519618,5.290583,2.594762,1.960404,5.30751,1.709686,1.998011,3.203565,1.537208,1.8582599999999998,3.086379,2.044927,3.5801580000000004,4.928578,,2.884306,0.524482,,2.677649,5.565306,1.7286130000000002,3.072368,2.15707,4.181952,,2.2057330000000004,,3.855605,2.1806259999999997,1.824514,,5.285612,-5.217017,0.846143,-2.368811,-1.483178,5.043671,-5.115998,4.986541000000001,1.688912,0.618066,3.660974,4.769291,2.625413,5.23227,-4.7602614999999995,-0.7538630000000001,,2.06035,-0.006439,-3.0645540000000002,-4.8693314999999995,,4.337485,4.338978,2.484928,4.007982,-1.733454,2.803125,4.212253,3.804618,-2.410908,2.3121509999999996,5.697918,0.393031,3.5502535,4.882372,0.7742180000000001,4.068105999999999,5.192832,2.5801220000000002,,1.4342110000000001,,2.162906,2.475056,-4.5873669999999995,2.831987,3.4302040000000003,5.2453330000000005,1.2413809999999998,4.678309,1.375759,4.924214,3.4224879999999995,0.039772,3.7660419999999997,1.6638650000000001,,3.1456310000000003,,3.573743,3.3256419999999998,4.904614,5.2256599999999995,3.7473919999999996,5.402275,4.160544,-3.870745,-1.977871,3.611094,5.2908669999999995,0.756636,3.8261300000000005,4.198355,4.203089,4.89962,4.127695,0.17366600000000001,,3.714201,1.326406,5.672772,3.820425,4.690389,4.713421,3.880442,4.082992,3.087195,0.7930649999999999,2.675026,1.9470580000000002,3.2538155,2.834822,2.747954,4.580237,0.588384,3.288157,,4.9366900000000005,5.566856,4.3534239999999995,3.8793559999999996,-3.935192,3.936173,-1.140918,4.7850410000000005,1.395693,-0.7055170000000001,3.335119,,4.569584,-2.110662,,4.560487999999999,,,3.054605,-1.327835,4.247959,2.50505,5.507719,-5.464149,2.967291,2.0880229999999997,-2.146264,5.002484,0.7165630000000001,3.089203,2.683493,-0.388529,5.175687,-0.44655500000000004,-2.391341,,1.270118,2.371443,4.595751,2.5461115,4.2973235,4.043897,4.56722,2.542564,3.654413,2.661936,-4.007594,-1.4203430000000001,-3.1525060000000003,2.687246,3.9293139999999998,3.719778,4.7823400000000005,1.848327,4.501633,4.137965,1.5177450000000001,,3.031908
647-V,6.536331,3.5068330000000003,5.1323300000000005,5.858503,5.374548,3.078882,1.95897,3.609793,4.785829,4.667308,2.257396,2.289075,2.585911,2.520582,3.5202449999999996,2.804209,-3.120405,5.346593,,2.133896,-0.092236,,2.708593,4.058897,1.9555209999999998,4.052789,4.492687,5.402659,,2.43708,,4.546537,3.466971,2.94789,,5.4484330000000005,-5.464496,1.149009,-1.8371560000000002,0.62998,5.225189,-4.410302,5.91172,1.932868,1.329007,4.046578,5.532657,1.081747,5.540901,-3.8870105,-1.0831950000000001,,0.862284,0.41201400000000005,-2.339976,-4.0511335,,5.248711,4.879524,4.136892,4.593980999999999,-1.697214,2.7552470000000002,3.005194,4.126672,-1.8616380000000001,2.387702,6.1674370000000005,1.578809,4.20118,5.461402,0.55652,4.461641999999999,5.016081,3.735017,,3.172395,4.972023,1.6447150000000001,3.4810000000000003,-3.6170760000000004,4.044493,4.851107,2.8380669999999997,3.077618,4.9519720000000005,2.999768,5.409176,4.797631,0.007318000000000001,3.7877669999999997,4.882333,,5.704098,,5.439947,4.486892,5.447607,5.915057,4.20406,5.675438,4.2914639999999995,-1.5047540000000001,-2.176736,4.52568,5.56781,0.421325,4.231781,4.437719,4.337112,5.696122,4.1635599999999995,0.9519620000000001,,2.958442,1.593963,5.936875,4.5091209999999995,2.2961110000000002,5.381683,4.7432419999999995,5.1827309999999995,3.57609,0.491699,1.848022,2.169254,5.2349885,4.084669,2.960404,4.71891,0.063677,4.510321,,5.246002,5.530757,5.715441,4.962018,-0.8827139999999999,5.21825,-1.6384869999999998,5.620722,1.644613,0.284837,2.787859,,5.811575,-1.485814,,5.2446589999999995,,,3.289185,-0.74217,3.982004,1.267352,3.802749,-5.826633,3.550849,3.002657,-3.156009,4.688948,-1.202413,3.929389,2.975022,-0.09023400000000001,4.352855,-0.240533,-2.767146,,1.296656,2.562886,1.734072,3.2364135,4.1925485,5.088938,5.124479,1.762818,3.9889629999999996,1.53108,-1.8846459999999998,-0.73848,-1.7894900000000002,1.895959,3.299804,3.917704,4.808444000000001,1.406885,5.549691999999999,4.621069,3.0455490000000003,,4.113937
697,2.4361189999999997,-2.4555849999999997,3.84085,2.819839,2.4912330000000003,1.919571,1.1555440000000001,-0.80808,4.216285,2.86043,-0.25054699999999996,2.107766,0.533464,-1.861466,0.988186,-0.083159,,-2.993657,,-0.82171,-2.154886,,1.786289,4.420605999999999,0.28483200000000003,1.073273,-3.4163949999999996,2.040979,,0.663749,,3.545812,1.9126720000000001,0.983949,,1.921943,-5.431998999999999,-0.37644299999999997,-5.206909,-2.394365,3.357828,-5.004851,4.265847,1.367167,-0.108876,-0.258315,3.438652,-5.3223970000000005,0.7846989999999999,-6.782442,-4.086379,,-0.001198,1.3187209999999998,-3.8200489999999996,-6.605281,,4.102392,3.412879,1.028057,1.5567090000000001,-4.863606,1.417506,-0.125563,1.387022,-5.149053,0.903279,0.195914,-1.66726,2.342711,4.0688830000000005,-1.288203,2.195226,4.193955,1.321954,,1.823445,2.460389,1.715407,2.307113,-5.897144,0.284222,2.032677,1.1058350000000001,-1.421973,2.8312880000000002,1.97363,3.209795,1.532804,-0.176903,1.8351680000000001,0.8598950000000001,,2.1769,,3.560001,3.4508449999999997,3.490061,4.47239,1.4703540000000002,3.456488,2.217838,-4.607163,-2.2972099999999998,1.589065,1.8554169999999999,-1.8014599999999998,-0.046458,0.010842000000000001,3.21749,4.422731,3.9398239999999998,-3.602158,,1.214324,-1.9230009999999997,1.8614830000000002,1.315064,-0.526931,0.279019,4.493283,,-0.699199,0.074656,0.330962,0.398296,0.7453485,1.742662,-3.595489,1.49129,-0.532158,0.990489,,4.466497,2.135134,1.1727370000000001,1.296504,-5.971097,-1.6917330000000002,-1.3573110000000002,3.759904,-1.4552459999999998,-2.178044,1.383976,,3.200329,-4.264462,,4.140655000000001,,,1.8294169999999998,-2.7403880000000003,4.219933,1.343857,3.83244,-5.712457,2.021455,1.2962559999999999,-6.149845,3.253082,-4.125738,2.687643,1.227971,0.068052,5.124569999999999,-2.879838,-1.9428470000000002,,0.576617,-4.037030000000001,3.087104,1.6096455,1.341499,1.295032,0.9830530000000001,-3.4215459999999998,1.802846,-3.805603,-6.31924,-4.713984,-6.1947589999999995,-0.14339000000000002,2.7621130000000003,2.584377,2.132927,-0.332807,2.5888169999999997,4.276649,-0.5667909999999999,,2.299845
769-P,3.317243,1.6683970000000001,5.668125,4.664958,4.611823,2.1715169999999997,1.3949799999999999,1.847837,5.733527,3.60786,2.203368,0.696934,4.168353,0.571284,3.944353,1.621059,5.359129,5.840904,,0.738815,-1.2092479999999999,,3.255562,5.110563,0.839724,3.3408919999999998,3.4372550000000004,3.764075,,1.045208,,4.593964,3.17295,2.8964950000000003,,2.270244,-4.671174,1.2602360000000001,-1.817525,-0.37701999999999997,5.403427,-2.139694,4.718217,1.601328,3.312665,4.082145,4.974381,0.570922,3.5828949999999997,-3.9163315,-3.373533,-3.2942699999999996,-0.435392,1.0433219999999999,-2.730122,-3.023415,,5.543499,4.407548,2.1964040000000002,3.465121,-3.4558839999999997,2.2385349999999997,3.153248,4.240715,-1.654832,1.558255,3.606587,1.852068,3.671584,5.580552,-0.45719899999999997,5.401166,5.681539,3.6180480000000004,,2.57553,3.85575,1.7832270000000001,1.445262,-2.5623,2.178712,4.507135,5.654503,2.83894,4.790719999999999,2.3926990000000004,2.0474040000000002,4.748339,3.8273940000000004,4.689951000000001,3.553433,,4.2429120000000005,,5.165294,4.061114,4.787227,4.626176999999999,0.9785299999999999,5.383954,4.779037000000001,-1.521707,-1.11134,4.785202,4.862853,-0.742891,4.111701999999999,1.6446040000000002,5.422233,4.784638,7.542077000000001,1.0321870000000002,,2.3896319999999998,1.232536,6.252298000000001,1.462779,3.4603029999999997,1.892281,3.932342,,0.580274,1.371896,4.569357,0.988346,3.1949185,5.6524980000000005,1.9393080000000003,4.166189,0.217772,3.56396,,5.355473,4.192384,3.991571,3.62932,-2.943308,1.566776,1.6944439999999998,5.3296019999999995,1.468783,-0.9311280000000001,5.6698699999999995,,4.628897,-1.7062529999999998,,4.715589,,,2.9093459999999998,-0.132302,1.8229799999999998,3.3765980000000004,3.9189870000000004,-5.626608,3.302135,2.242857,-4.749378,5.210772,2.287907,4.062316,2.767655,1.673988,6.482648,1.2544799999999998,0.80489,,-0.29885900000000004,3.924406,4.444287,2.687513,3.516291,1.918859,1.9892279999999998,2.221618,2.824295,3.274677,-4.05379,-0.38019899999999995,-2.140937,1.16184,3.66899,4.485732,3.9929910000000004,1.109931,4.075539,4.1348769999999995,2.010841,,3.82462
786-0,4.187099,3.281154,3.979847,5.380115,4.403076,1.644914,1.8091509999999997,1.801318,5.676359,2.960756,1.4626940000000002,2.166578,1.701502,2.754208,1.407692,1.638112,2.383379,5.5437080000000005,,0.754868,-0.958535,,1.6408470000000002,6.368333,1.344344,0.240921,1.68903,5.223006,,1.497939,,4.740661,2.749567,2.508497,,4.783423,-5.297135,0.9585040000000001,-2.475355,-0.543762,5.404132,-3.4945019999999998,4.643936,1.270864,1.547541,4.0207,5.257218,0.8850370000000001,4.842018,-5.100677,-1.989773,,-0.072983,2.1377330000000003,-2.43853,-4.042631,,5.2172220000000005,5.902647,2.6259360000000003,4.061096,-2.639528,2.444616,3.5036739999999997,2.811579,-2.243625,1.605101,5.4050400000000005,1.057732,3.9676600000000004,4.469821,0.004604,5.440437999999999,4.76016,3.319642,,2.6715310000000003,4.454835,2.543733,3.9774480000000003,-2.0638490000000003,2.449546,3.728126,5.570399,1.909698,4.58487,2.785925,4.638113,1.124393,1.519941,3.7621860000000003,3.4993410000000003,,4.649385,,5.638491,4.741839,5.620147,5.663428,1.606826,5.453307,3.708219,-1.8748939999999998,-2.307123,2.481617,5.180265,-0.374583,2.058579,1.489267,3.8271050000000004,5.676383,5.2465660000000005,-0.343263,,2.186761,1.589241,6.279819,3.8724339999999997,4.6993089999999995,5.003131,5.569891,5.221941,2.139636,-0.183552,3.6561239999999997,1.7933240000000001,3.1843935,2.619379,1.802847,3.910705,1.412749,4.6063410000000005,,5.469778,4.706153,2.97436,3.7831699999999997,-0.49996199999999996,2.283558,-0.182111,5.072141,0.9948530000000001,-0.728594,2.846937,,5.18648,-3.390631,,5.4415949999999995,,,3.428381,-0.584787,4.173126,2.135208,5.037191,-4.751429,3.7486099999999998,2.8691150000000003,-4.499542,4.768468,3.4543489999999997,3.379487,2.797083,-0.427858,5.537905,-0.488246,-0.99823,,0.686185,2.666833,4.0819529999999995,2.6663924999999997,0.978483,3.127473,1.992535,2.034647,3.004643,2.08354,-4.160762999999999,-1.277512,-4.981536,2.2567049999999997,3.074824,2.743559,4.015295,1.570083,4.346973,4.867411,2.1755869999999997,,3.055151
8-MG-BA,3.266237,2.9264639999999997,4.7939050000000005,4.2976589999999995,4.948148000000001,2.137099,1.518291,1.248897,4.484528,3.223896,1.06645,2.716042,3.2831309999999996,0.7917270000000001,2.019581,2.033748,1.054198,-0.366784,,0.056867999999999995,-1.5748739999999999,,2.598725,4.475541000000001,1.20003,0.935102,1.00401,2.804447,,1.710259,,4.141332,2.345018,1.496773,,3.3389,-5.600329,-0.0071129999999999995,-3.069936,-0.511089,3.8469160000000002,-4.584382,4.828962000000001,1.8599869999999998,1.8856950000000001,2.85454,4.660614,-0.47727700000000006,4.064301,-5.585164000000001,-3.08268,,-0.999179,2.342162,-3.040038,-5.528808000000001,,4.5650319999999995,4.469689,2.0581709999999998,3.579108,-1.42476,2.539256,2.295753,2.2181450000000003,-3.02314,2.474888,5.40276,0.274948,3.3658945,3.2846480000000002,-0.46827299999999994,4.155645,3.910461,2.2135029999999998,,1.783236,3.8072209999999997,2.739451,2.487818,-3.9720120000000003,1.803575,3.66828,3.6996559999999996,1.7074060000000002,4.321372,1.419926,4.673266,2.858466,0.700585,2.714468,3.155791,,2.9441599999999997,,3.8962339999999998,4.711453,4.567476,4.297680000000001,1.9898209999999998,4.4687,3.138012,-3.678548,-2.070179,2.092276,4.974974,-0.605202,2.139379,3.726917,3.736925,4.094175,4.0330900000000005,0.009177,,1.432922,2.3613779999999998,6.00851,2.685289,1.848226,4.611846,4.463393,4.025481,0.5743729999999999,-0.30942,1.909419,2.235868,3.7910130000000004,2.830702,2.194929,3.360201,0.032518,3.4149800000000003,,4.169728,2.947504,2.928183,2.420476,-5.059806,2.96286,-1.157841,3.6429129999999996,0.5908100000000001,-1.498302,1.9724130000000002,,3.818337,-2.905466,,4.978966000000001,,,2.119173,-2.079944,3.241266,1.316922,4.068363,-5.721677,2.825911,1.7072330000000002,-4.83027,3.826117,-0.228542,2.683838,1.25011,-0.483616,4.921946,-0.888281,-1.542925,,0.432037,0.843385,2.38594,2.6589095,2.251473,2.736596,2.769864,1.9647700000000001,2.6292560000000003,1.836041,-5.089951,-3.064482,-3.212701,1.313207,3.33075,2.4252,2.0870889999999997,0.533867,2.988058,4.313786,0.712615,,2.9471580000000004
8305C,6.221018,1.902179,5.550123,5.815471,4.329893,3.311704,4.440318,3.326978,6.105963,6.251786,1.5697510000000001,3.605408,4.4160129999999995,1.729697,3.572394,3.130203,4.280853,6.596672,,2.487545,0.14288800000000001,,1.691501,6.245323,2.101497,2.6962650000000004,4.238738,3.5161540000000002,,1.195367,,5.520643,2.968244,1.2894459999999999,,4.866226999999999,-5.461582,0.67516,-1.65147,0.32957,6.149476,-1.209881,6.7714300000000005,1.9684599999999999,5.64556,4.5040260000000005,4.7209769999999995,4.101913,1.7661950000000002,-2.650545,-0.9349299999999999,-4.058059,-0.441158,2.073491,-1.82103,-3.6137005,,5.754343,6.557588000000001,0.9206559999999999,1.976968,-3.684908,3.015118,3.839431,2.386352,-0.43854799999999994,3.398422,5.247943,1.1705020000000002,4.497088,5.151033,-0.46513699999999997,5.154705,4.342469,3.2973269999999997,,3.425412,4.827885,3.6029809999999998,3.953418,1.834759,2.9384759999999996,3.8588440000000004,6.224583,5.061202,6.172845,3.602554,6.154755000000001,3.3687739999999997,4.481523,4.151912,3.866187,,5.247015,,5.455888,6.114694,5.636903,5.321921,3.43096,4.688208,3.9213720000000003,-1.213986,-1.9662490000000001,4.5060080000000005,5.642621,1.772757,1.903889,3.78764,4.927908,4.509665,4.858765,1.872675,,2.26789,2.412065,6.558056,3.802428,5.926636,5.459118,4.808454,,1.076365,1.306196,4.562601,2.413579,6.2862215,6.2005870000000005,3.3248230000000003,4.370668,-0.744306,2.7172099999999997,,5.795732,2.917361,3.328936,2.644806,-0.407174,2.707872,4.390291,6.166053,0.510228,-1.452331,3.3231260000000002,,4.306916,-0.8157439999999999,,5.442969000000001,,,2.121813,1.530623,5.274262,3.1014310000000003,2.182888,-3.924029,3.295214,3.50996,-2.671614,5.959102,5.601546,4.1072239999999995,0.8641690000000001,1.3925610000000002,6.3420510000000005,1.6105049999999999,0.503216,,0.15590299999999999,3.097509,2.730106,3.5152245,5.375549,4.471217,3.4163300000000003,2.608431,2.930189,2.1699040000000003,-3.8596550000000005,-3.8555370000000004,-3.5788919999999997,1.865473,4.058438,5.286738,3.36124,2.3205810000000002,5.189104,4.77228,2.3718779999999997,,3.475569
